ISO 3166-2 Code,Subdivision Name (es),Poverty,""
PE-AMA,Amazonas,"",""
PE-ANC,Ancash,"",""
PE-APU,Apurímac,"",""
PE-ARE,Arequipa,"",""
PE-AYA,Ayacucho,"",""
PE-CAJ,Cajamarca,"",""
PE-CUS,Cusco,"",""
PE-CAL,El Callao,"",""
PE-HUV,Huancavelica,"",""
PE-HUC,Huánuco,"",""
PE-ICA,Ica,"",""
PE-JUN,Junín,"",""
PE-LAL,La Libertad,"",""
PE-LAM,Lambayeque,"",""
PE-LIM,Lima,"",""
PE-LOR,Loreto,"",""
PE-MDD,Madre de Dios,"",""
PE-MOQ,Moquegua,"",""
PE-LMA,Municipalidad Metropolitana de Lima,"",""
PE-PAS,Pasco,"",""
PE-PIU,Piura,"",""
PE-PUN,Puno,"",""
PE-SAM,San Martín,"",""
PE-TAC,Tacna,"",""
PE-TUM,Tumbes,"",""
PE-UCA,Ucayali,"",""
AR-C,Ciudad Autónoma de Buenos Aires,"",""
AR-B,Buenos Aires,"",""
AR-K,Catamarca,"",""
AR-H,Chaco,"",""
AR-U,Chubut,"",""
AR-X,Córdoba,"",""
AR-W,Corrientes,"",""
AR-E,Entre Ríos,"",""
AR-P,Formosa,"",""
AR-Y,Jujuy,"",""
AR-L,La Pampa,"",""
AR-F,La Rioja,"",""
AR-M,Mendoza,"",""
AR-N,Misiones,"",""
AR-Q,Neuquén,"",""
AR-R,Río Negro,"",""
AR-A,Salta,"",""
AR-J,San Juan,"",""
AR-D,San Luis,"",""
AR-Z,Santa Cruz,"",""
AR-S,Santa Fe,"",""
AR-G,Santiago del Estero,"",""
AR-V,Tierra del Fuego,"",""
AR-T,Tucumán,"",""
BO-C,Cochabamba,"",""
BO-H,Chuquisaca,"",""
BO-B,El Beni,"",""
BO-L,La Paz,"",""
BO-O,Oruro,"",""
BO-N,Pando,"",""
BO-P,Potosí,"",""
BO-S,Santa Cruz,"",""
BO-T,Tarija,"",""
BR-AC,Acre,"",""
BR-AL,Alagoas,"",""
BR-AP,Amapá,"",""
BR-AM,Amazonas,"",""
BR-BA,Bahia,"",""
BR-CE,Ceará,"",""
BR-DF,Distrito Federal,"",""
BR-ES,Espírito Santo,"",""
BR-GO,Goiás,"",""
BR-MA,Maranhão,"",""
BR-MT,Mato Grosso,"",""
BR-MS,Mato Grosso do Sul,"",""
BR-MG,Minas Gerais,"",""
BR-PA,Pará,"",""
BR-PB,Paraíba,"",""
BR-PR,Paraná,"",""
BR-PE,Pernambuco,"",""
BR-PI,Piauí,"",""
BR-RJ,Rio de Janeiro,"",""
BR-RN,Rio Grande do Norte,"",""
BR-RS,Rio Grande do Sul,"",""
BR-RO,Rondônia,"",""
BR-RR,Roraima,"",""
BR-SC,Santa Catarina,"",""
BR-SP,São Paulo,"",""
BR-SE,Sergipe,"",""
BR-TO,Tocantins,"",""
CL-AI,Aisén del General Carlos Ibañez del Campo,"",""
CL-AN,Antofagasta,"",""
CL-AP,Arica y Parinacota,"",""
CL-AR,La Araucanía,"",""
CL-AT,Atacama,"",""
CL-BI,Biobío,"",""
CL-CO,Coquimbo,"",""
CL-LI,Libertador General Bernardo O'Higgins,"",""
CL-LL,Los Lagos,"",""
CL-LR,Los Ríos,"",""
CL-MA,Magallanes,"",""
CL-ML,Maule,"",""
CL-NB,Ñuble,"",""
CL-RM,Región Metropolitana de Santiago,"",""
CL-TA,Tarapacá,"",""
CL-VS,Valparaíso,"",""
CO-DC,Distrito Capital de Bogotá,"",""
CO-AMA,Amazonas,"",""
CO-ANT,Antioquia,"",""
CO-ARA,Arauca,"",""
CO-ATL,Atlántico,"",""
CO-BOL,Bolívar,"",""
CO-BOY,Boyacá,"",""
CO-CAL,Caldas,"",""
CO-CAQ,Caquetá,"",""
CO-CAS,Casanare,"",""
CO-CAU,Cauca,"",""
CO-CES,Cesar,"",""
CO-COR,Córdoba,"",""
CO-CUN,Cundinamarca,"",""
CO-CHO,Chocó,"",""
CO-GUA,Guainía,"",""
CO-GUV,Guaviare,"",""
CO-HUI,Huila,"",""
CO-LAG,La Guajira,"",""
CO-MAG,Magdalena,"",""
CO-MET,Meta,"",""
CO-NAR,Nariño,"",""
CO-NSA,Norte de Santander,"",""
CO-PUT,Putumayo,"",""
CO-QUI,Quindío,"",""
CO-RIS,Risaralda,"",""
CO-SAP,San Andrés & Providencia y Santa Catalina,"",""
CO-SAN,Santander,"",""
CO-SUC,Sucre,"",""
CO-TOL,Tolima,"",""
CO-VAC,Valle del Cauca,"",""
CO-VAU,Vaupés,"",""
CO-VID,Vichada,"",""
CR-A,Alajuela,"",""
CR-C,Cartago,"",""
CR-G,Guanacaste,"",""
CR-H,Heredia,"",""
CR-L,Limón,"",""
CR-P,Puntarenas,"",""
CR-SJ,San José,"",""
DO-01,Distrito Nacional (Santo Domingo),"",""
DO-02,Azua,"",""
DO-03,Baoruco,"",""
DO-04,Barahona,"",""
DO-05,Dajabón,"",""
DO-06,Duarte,"",""
DO-08,El Seibo,"",""
DO-09,Espaillat,"",""
DO-30,Hato Mayor,"",""
DO-10,Independencia,"",""
DO-11,La Altagracia,"",""
DO-07,Elías Piña,"",""
DO-12,La Romana,"",""
DO-13,La Vega,"",""
DO-14,María Trinidad Sánchez,"",""
DO-28,Monseñor Nouel,"",""
DO-15,Monte Cristi,"",""
DO-29,Monte Plata,"",""
DO-16,Pedernales,"",""
DO-17,Peravia,"",""
DO-18,Puerto Plata,"",""
DO-19,Hermanas Mirabal,"",""
DO-20,Samaná,"",""
DO-21,San Cristóbal,"",""
DO-31,San José de Ocoa,"",""
DO-22,San Juan,"",""
DO-23,San Pedro de Macorís,"",""
DO-24,Sánchez Ramírez,"",""
DO-25,Santiago,"",""
DO-26,Santiago Rodríguez,"",""
DO-32,Santo Domingo,"",""
DO-27,Valverde,"",""
EC-A,Azuay,"",""
EC-B,Bolivar,"",""
EC-F,Cañar,"",""
EC-C,Carchi,"",""
EC-H,Chimborazo,"",""
EC-X,Cotopaxi,"",""
EC-O,El Oro,"",""
EC-E,Esmeraldas,"",""
EC-W,Galapagos,"",""
EC-G,Guayas,"",""
EC-I,Imbabura,"",""
EC-L,Loja,"",""
EC-R,Los Rios,"",""
EC-M,Manabi,"",""
EC-S,Morona Santiago,"",""
EC-N,Napo,"",""
EC-D,Orellana,"",""
EC-Y,Pastaza,"",""
EC-P,Pichincha,"",""
EC-SE,Santa Elena,"",""
EC-SD,Santo Domingo,"",""
EC-U,Sucumbios,"",""
EC-T,Tungurahua,"",""
EC-Z,Zamora Chinchipe,"",""
SV-AH,Ahuachapán,"",""
SV-CA,Cabañas,"",""
SV-CH,Chalatenango,"",""
SV-CU,Cuscatlán,"",""
SV-LI,La Libertad,"",""
SV-PA,La Paz,"",""
SV-UN,La Unión,"",""
SV-MO,Morazán,"",""
SV-SM,San Miguel,"",""
SV-SS,San Salvador,"",""
SV-SV,San Vicente,"",""
SV-SA,Santa Ana,"",""
SV-SO,Sonsonate,"",""
SV-US,Usulután,"",""
HN-AT,Atlántida,"",""
HN-CH,Choluteca,"",""
HN-CL,Colón,"",""
HN-CM,Comayagua,"",""
HN-CP,Copán,"",""
HN-CR,Cortés,"",""
HN-EP,El Paraíso,"",""
HN-FM,Francisco Morazán,"",""
HN-GD,Gracias a Dios,"",""
HN-IN,Intibucá,"",""
HN-IB,Islas de la Bahía,"",""
HN-LP,La Paz,"",""
HN-LE,Lempira,"",""
HN-OC,Ocotepeque,"",""
HN-OL,Olancho,"",""
HN-SB,Santa Bárbara,"",""
HN-VA,Valle,"",""
HN-YO,Yoro,"",""
MX-CMX,Ciudad de México,"",""
MX-AGU,Aguascalientes,"",""
MX-BCN,Baja California,"",""
MX-BCS,Baja California Sur,"",""
MX-CAM,Campeche,"",""
MX-COA,Coahuila de Zaragoza,"",""
MX-COL,Colima,"",""
MX-CHP,Chiapas,"",""
MX-CHH,Chihuahua,"",""
MX-DUR,Durango,"",""
MX-GUA,Guanajuato,"",""
MX-GRO,Guerrero,"",""
MX-HID,Hidalgo,"",""
MX-JAL,Jalisco,"",""
MX-MEX,México,"",""
MX-MIC,Michoacán de Ocampo,"",""
MX-MOR,Morelos,"",""
MX-NAY,Nayarit,"",""
MX-NLE,Nuevo León,"",""
MX-OAX,Oaxaca,"",""
MX-PUE,Puebla,"",""
MX-QUE,Querétaro,"",""
MX-ROO,Quintana Roo,"",""
MX-SLP,San Luis Potosí,"",""
MX-SIN,Sinaloa,"",""
MX-SON,Sonora,"",""
MX-TAB,Tabasco,"",""
MX-TAM,Tamaulipas,"",""
MX-TLA,Tlaxcala,"",""
MX-VER,Veracruz de Ignacio de la Llave,"",""
MX-YUC,Yucatán,"",""
MX-ZAC,Zacatecas,"",""
NI-BO,Boaco,"",""
NI-CA,Carazo,"",""
NI-CI,Chinandega,"",""
NI-CO,Chontales,"",""
NI-ES,Estelí,"",""
NI-GR,Granada,"",""
NI-JI,Jinotega,"",""
NI-LE,León,"",""
NI-MD,Madriz,"",""
NI-MN,Managua,"",""
NI-MS,Masaya,"",""
NI-MT,Matagalpa,"",""
NI-NS,Nueva Segovia,"",""
NI-SJ,Río San Juan,"",""
NI-RI,Rivas,"",""
NI-AN,Costa Caribe Norte,"",""
NI-AS,Costa Caribe Sur,"",""
PA-1,Bocas del Toro,"",""
PA-4,Chiriquí,"",""
PA-2,Coclé,"",""
PA-3,Colón,"",""
PA-5,Darién,"",""
PA-EM,Emberá,"",""
PA-KY,Guna Yala,"",""
PA-6,Herrera,"",""
PA-7,Los Santos,"",""
PA-NB,Ngöbe-Buglé,"",""
PA-8,Panamá,"",""
PA-10,Panamá Oeste,"",""
PA-9,Veraguas,"",""
PY-ASU,Asunción,"",""
PY-16,Alto Paraguay,"",""
PY-10,Alto Paraná,"",""
PY-13,Amambay,"",""
PY-19,Boquerón,"",""
PY-5,Caaguazú,"",""
PY-6,Caazapá,"",""
PY-14,Canindeyú,"",""
PY-11,Central,"",""
PY-1,Concepción,"",""
PY-3,Cordillera,"",""
PY-4,Guairá,"",""
PY-7,Itapúa,"",""
PY-8,Misiones,"",""
PY-12,Ñeembucú,"",""
PY-9,Paraguarí,"",""
PY-15,Presidente Hayes,"",""
PY-2,San Pedro,"",""
UY-AR,Artigas,"",""
UY-CA,Canelones,"",""
UY-CL,Cerro Largo,"",""
UY-CO,Colonia,"",""
UY-DU,Durazno,"",""
UY-FS,Flores,"",""
UY-FD,Florida,"",""
UY-LA,Lavalleja,"",""
UY-MA,Maldonado,"",""
UY-MO,Montevideo,"",""
UY-PA,Paysandú,"",""
UY-RN,Río Negro,"",""
UY-RV,Rivera,"",""
UY-RO,Rocha,"",""
UY-SA,Salto,"",""
UY-SJ,San José,"",""
UY-SO,Soriano,"",""
UY-TA,Tacuarembó,"",""
UY-TT,Treinta y Tres,"",""
VE-W,Dependencias Federales,"",""
VE-A,Distrito Capital,"",""
VE-Z,Amazonas,"",""
VE-B,Anzoátegui,"",""
VE-C,Apure,"",""
VE-D,Aragua,"",""
VE-E,Barinas,"",""
VE-F,Bolívar,"",""
VE-G,Carabobo,"",""
VE-H,Cojedes,"",""
VE-Y,Delta Amacuro,"",""
VE-I,Falcón,"",""
VE-J,Guárico,"",""
VE-K,Lara,"",""
VE-L,Mérida,"",""
VE-M,Miranda,"",""
VE-N,Monagas,"",""
VE-O,Nueva Esparta,"",""
VE-P,Portuguesa,"",""
VE-R,Sucre,"",""
VE-S,Táchira,"",""
VE-T,Trujillo,"",""
VE-X,Vargas,"",""
VE-U,Yaracuy,"",""
VE-V,Zulia,"",""